Type,Name,texX,texY,objX,objY
1,上１,187.5102,41.2566,192,41
1,上２,318.4922,41.2566,320,41
1,上３,450.5358,41.2566,448,41
1,上４,574.2501,41.2566,576,41
1,上５,700.3325,41.2566,704,41
1,上６,829.3547,41.2566,832,41
1,上７,960.3367,41.2566,960,41
1,上８,1091.3187,41.2566,1088,41
1,上９,1220.3408,41.2566,1216,41
1,上１０,1346.4233,41.2566,1344,41
1,上１１,1470.2192,41.2566,1472,41
1,上１２,1602.5078,41.2566,1600,41
1,上１３,1730.55,41.2566,1728,41
2,左１,37.2566,160.8062,36.5,159
2,左２,37.2566,271.21,36.5,265
2,左３,37.2566,379.654,36.5,371
2,左４,37.2566,486.7913,36.5,477
2,左５,37.2566,592.6222,36.5,583
2,左６,37.2566,697.4731,36.5,689
2,左７,37.2566,801.0175,36.5,795
2,左８,37.2566,899.3356,36.5,901
2,右１,1883.7434,162.7661,1883.5,159
2,右２,1883.7434,275.1297,1883.5,265
2,右３,1883.7434,378.674,1883.5,371
2,右４,1883.7434,483.1983,1883.5,477
2,右５,1883.7434,589.0292,1883.5,583
2,右６,1883.7434,695.8399,1883.5,689
2,右７,1883.7434,804.2839,1883.5,795
2,右８,1883.7434,900.3156,1883.5,901
3,左下,74.1667,1017.5787,64,1017.5
3,下１,186.5303,1017.5787,192,1017.5
3,下２,318.8189,1017.5787,320,1017.5
3,下３,450.7808,1017.5787,448,1017.5
3,下４,574.5767,1017.5787,576,1017.5
3,下５,700.6592,1017.5787,704,1017.5
3,下６,829.6813,1017.5787,832,1017.5
3,下７,960.6633,1017.5787,960,1017.5
3,下８,1091.6453,1017.5787,1088,1017.5
3,下９,1220.3408,1017.5787,1216,1017.5
3,下１０,1346.4233,1017.5787,1344,1017.5
3,下１１,1470.2192,1017.5787,1472,1017.5
3,下１２,1602.1811,1017.5787,1600,1017.5
3,下１３,1733.4898,1017.5787,1728,1017.5
3,右下,1845.5267,1017.5787,1856,1017.5
4,左上,75.4733,62.4881,36.5,41
4,右上,1848.1398,61.8348,1883.5,41
